student_id,name,programme,year,gpa_sem1,gpa_sem2,gpa_sem3,attendance,lms_logins,facility_access,library_visits,after_hours_wifi,assignment_submissions,risk_label
N20559450L,Tanaka Matsvimbo,BSc Computer Science,2,1.69,1.48,1.73,29.94,2.29,2.99,0.0,8.04,1.04,high
N22779445L,Farai Mhlanga,BSc Software Engineering,4,2.95,2.78,2.54,64.71,4.86,6.47,2.11,4.06,3.25,medium
N23584498L,Newton Dlodlo,BSc Information Systems,3,3.49,2.99,3.9,89.59,11.94,8.96,4.91,1.03,5.44,low
N24306909L,Tanaka Makaza,BSc Information Technology,3,2.23,2.06,2.38,64.98,5.12,6.5,2.0,3.82,3.17,medium
N20705393L,Farai Mushayasa,BSc Information Systems,3,2.85,3.55,3.94,90.37,12.17,9.04,5.11,1.0,4.75,low
N23653349L,Tafadzwa Chimuti,BSc Information Technology,1,3.64,3.81,3.82,90.14,12.06,9.01,5.17,0.99,5.31,low
N23747351L,Tatenda Mushonga,BSc Computer Science,3,3.67,3.68,3.99,89.85,11.79,8.98,4.98,1.03,5.04,low
N20291936L,Gerald Ncube,BSc Information Technology,2,2.79,2.69,2.65,64.82,5.18,6.48,1.98,3.99,3.18,medium
N21610310L,Bright Mhlanga,BSc Information Systems,1,4.0,3.39,3.42,89.84,11.53,8.98,4.86,1.09,5.05,low
N23749498L,Kudakwashe Nyathi,BSc Informatics,1,3.48,2.69,3.87,89.96,12.12,9.0,5.05,1.01,5.08,low
N24629990L,Munashe Sithole,BSc Business Computing,1,2.88,4.0,4.0,89.82,12.25,8.98,4.81,1.08,5.06,low
N20692862L,Tashinga Mpofu,BSc Data Science,4,2.5,2.07,2.96,64.79,4.8,6.48,2.02,3.96,2.86,medium
N23693127L,Munashe Mushayasa,BSc Computer Science,1,1.99,1.92,2.12,65.36,5.02,6.54,1.89,4.03,2.94,medium
N22668373L,Nomvula Matsiga,BSc Software Engineering,1,3.77,4.0,3.23,89.52,12.35,8.95,4.97,0.97,4.96,low
N21412170L,Nomvula Matsiga,BSc Data Science,1,3.78,2.82,3.38,90.07,11.98,9.01,5.1,0.98,4.66,low
N20913308L,Newton Chikwanda,BSc Computer Engineering,4,3.56,2.73,3.69,90.05,11.88,9.01,4.95,0.99,4.96,low
N24245998L,Blessing Chikwanda,BSc Informatics,3,2.98,3.12,3.43,90.25,12.49,9.03,4.98,1.02,5.12,low
N21439375L,Nothando Mushonga,BSc Data Science,2,2.01,1.56,2.35,29.42,1.91,2.94,0.0,8.12,1.04,high
N20242175L,Chenai Sibanda,BSc Data Science,2,2.13,2.36,1.82,65.41,4.95,6.54,2.03,3.8,2.81,medium
N21253347L,Sharon Mpofu,BSc Information Technology,1,3.8,3.08,3.88,89.78,12.24,8.98,5.04,1.03,4.56,low
N23493396L,Tanaka Moyo,BSc Computer Science,3,2.44,2.19,2.12,65.05,4.8,6.51,1.99,4.06,3.4,medium
N22576782L,Winny Matsvimbo,BSc Informatics,3,2.6,2.51,1.8,64.99,4.9,6.5,1.93,4.02,3.32,medium
N23765678L,Gerald Moyo,BSc Information Technology,4,2.88,2.82,2.09,65.26,5.03,6.53,2.08,4.07,2.79,medium
N22438548L,Clever Matsvimbo,BSc Information Systems,2,3.39,3.53,3.21,89.91,11.93,8.99,4.96,1.0,4.55,low
N20148174L,Farai Matsiga,BSc Informatics,2,3.17,3.62,3.66,89.74,12.41,8.97,5.08,1.02,4.77,low
N20548580L,Blessing Ncube,BSc Data Science,4,1.81,2.04,1.37,30.41,2.01,3.04,0.0,8.02,0.9,high
N22362552L,Takudzwa Nyathi,BSc Information Systems,4,1.94,2.35,2.39,65.84,5.04,6.58,1.94,3.97,2.97,medium
N21550081L,Tendai Dube,BSc Informatics,3,3.81,3.92,3.4,89.54,11.94,8.95,4.86,1.0,4.77,low
N24813013L,Memory Ndlovu,BSc Informatics,1,3.13,3.43,2.97,89.73,12.25,8.97,4.97,0.91,4.83,low
N23827744L,Rutendo Gwekwerere,BSc Computer Science,4,3.48,3.43,3.94,90.34,11.73,9.03,5.01,0.97,4.66,low
N20428572L,Tinotenda Mushonga,BSc Information Systems,1,3.35,3.38,3.76,89.84,11.6,8.98,5.01,0.95,5.02,low
N21171734L,Tatenda Makaza,BSc Informatics,4,2.57,2.39,1.76,29.67,2.08,2.97,0.0,8.02,0.89,high
N21758589L,Munyaradzi Sithole,BSc Business Computing,1,1.56,1.83,1.92,30.2,1.97,3.02,0.0,8.06,1.0,high
N20718213L,Simbarashe Nyathi,BSc Information Technology,1,2.88,3.87,4.0,89.91,11.57,8.99,4.99,0.94,5.05,low
N20360221L,Bright Chimuti,BSc Data Science,1,3.74,3.79,3.31,89.96,12.19,9.0,4.98,1.06,5.2,low
N22315425L,Tatenda Chimuti,BSc Software Engineering,3,3.37,3.21,3.71,90.27,12.5,9.03,5.03,0.99,5.52,low
N21618927L,Simbarashe Dube,BSc Software Engineering,1,2.83,3.01,2.89,90.0,12.31,9.0,4.89,1.02,5.11,low
N20478638L,Sharon Ncube,BSc Information Technology,3,3.07,2.14,2.73,65.35,4.85,6.54,2.03,3.92,3.23,medium
N21899776L,Munashe Moyo,BSc Informatics,3,3.35,3.05,3.25,89.99,11.41,9.0,5.17,1.06,5.18,low
N20927630L,Simbarashe Mutizwa,BSc Data Science,1,2.0,2.54,2.12,64.47,5.11,6.45,1.97,4.03,2.94,medium
N23186431L,Bright Mushayasa,BSc Information Systems,2,3.46,3.65,3.99,90.04,11.68,9.0,5.18,1.05,4.77,low
N21947312L,Rutendo Mushayasa,BSc Computer Engineering,2,3.58,3.48,3.81,90.21,12.56,9.02,4.86,1.05,4.94,low
N20425236L,Chenai Mpofu,BSc Informatics,3,2.23,2.22,1.8,31.21,1.93,3.12,0.0,8.01,0.98,high
N24738407L,Kudakwashe Mushonga,BSc Information Systems,4,2.43,2.3,2.97,64.82,5.02,6.48,2.07,3.99,2.95,medium
N21620526L,Tinotenda Mutizwa,BSc Data Science,3,3.71,2.82,4.0,90.14,11.75,9.01,4.92,0.99,4.99,low
N22868538L,Shannon Ndlovu,BSc Computer Engineering,1,3.76,3.22,3.91,90.0,12.45,9.0,5.14,1.03,4.86,low
N24758015L,Takudzwa Gwekwerere,BSc Business Computing,1,2.62,2.15,2.1,64.83,5.21,6.48,2.0,3.93,3.07,medium
N21485548L,Michelle Ngwenya,BSc Computer Science,1,3.75,3.14,3.09,89.96,12.15,9.0,4.87,1.01,5.48,low
N24102693L,Kudakwashe Ndlovu,BSc Software Engineering,3,3.9,3.04,3.48,89.67,11.77,8.97,5.05,0.98,4.75,low
N21999138L,Nomvula Mushayasa,BSc Information Technology,2,3.19,3.39,3.99,89.86,12.44,8.99,5.0,0.99,4.98,low
N22384434L,Tendai Makaza,BSc Computer Engineering,1,3.67,2.99,4.0,90.57,11.48,9.06,4.71,0.99,4.68,low
N21943409L,Tariro Sibanda,BSc Information Technology,3,2.13,2.35,2.05,65.34,4.85,6.53,1.94,3.97,2.9,medium
N22443199L,Takudzwa Mushayasa,BSc Business Computing,2,2.26,1.74,2.11,29.91,1.8,2.99,0.0,8.15,1.02,high
N22875501L,Miriam Mpofu,BSc Business Computing,1,3.84,3.74,3.32,89.98,12.07,9.0,4.91,1.01,4.65,low
N21868043L,Grace Mpofu,BSc Information Systems,5,3.76,3.36,3.33,90.1,12.32,9.01,5.03,0.93,4.68,low
N22766833L,Tashinga Matsvimbo,BSc Informatics,2,3.16,3.11,3.85,90.06,11.45,9.01,5.06,0.99,4.78,low
N22208998L,Tariro Mutizwa,BSc Software Engineering,2,2.42,2.25,2.31,64.93,5.08,6.49,1.98,4.18,2.99,medium
N21846221L,Rudo Moyo,BSc Informatics,5,2.43,2.71,2.73,65.0,4.96,6.5,2.02,4.13,3.05,medium
N22580728L,Tendai Makaza,BSc Computer Science,4,2.33,1.66,1.28,29.85,2.23,2.98,0.0,7.81,1.0,high
N24695403L,Kudakwashe Sithole,BSc Information Systems,3,3.4,3.7,3.64,89.73,12.06,8.97,5.05,1.03,5.05,low
N23834764L,Tafadzwa Matsvimbo,BSc Business Computing,1,3.11,3.72,3.68,90.06,12.19,9.01,5.14,0.98,5.06,low
N24214266L,Munyaradzi Dube,BSc Information Systems,1,3.8,2.85,3.61,89.89,12.02,8.99,5.12,0.94,5.02,low
N22907756L,Blessing Matsiga,BSc Data Science,2,3.32,3.59,3.87,89.73,11.7,8.97,5.03,1.01,5.07,low
N22966529L,David Sibanda,BSc Software Engineering,4,3.72,2.68,3.1,89.84,11.75,8.98,5.02,1.05,5.17,low
N21473023L,Simbarashe Mutizwa,BSc Informatics,2,3.82,2.8,3.9,90.0,12.15,9.0,5.21,0.98,4.9,low
N20524035L,Memory Mushayasa,BSc Software Engineering,1,2.63,4.0,2.9,90.29,11.9,9.03,4.93,0.95,4.92,low
N20112537L,Nomvula Mpofu,BSc Information Systems,1,3.25,3.38,3.77,90.27,11.86,9.03,5.14,1.05,4.94,low
N20710610L,Precious Ngwenya,BSc Computer Science,2,3.51,3.25,3.05,90.07,11.85,9.01,4.94,1.01,4.88,low
N23948611L,Rutendo Moyo,BSc Computer Engineering,1,2.36,2.42,2.02,29.59,1.8,2.96,0.0,7.77,0.89,high
N24554197L,Simbarashe Gwekwerere,BSc Informatics,4,3.62,2.79,3.34,90.19,11.95,9.02,4.9,1.0,4.91,low
N21388339L,Admire Matsiga,BSc Information Systems,2,3.8,3.19,3.77,90.4,12.78,9.04,4.99,0.94,5.16,low
N22623125L,Learnmore Mushayasa,BSc Business Computing,3,3.79,3.58,3.33,89.89,12.17,8.99,4.98,1.01,5.01,low
N21773870L,Tariro Mpofu,BSc Informatics,1,3.09,3.84,3.68,90.22,12.38,9.02,5.12,1.03,5.12,low
N24919394L,Munashe Nyathi,BSc Computer Engineering,3,2.31,1.47,1.15,29.83,1.79,2.98,0.0,8.37,0.92,high
N21130726L,Admire Sibanda,BSc Business Computing,1,2.49,1.69,1.97,30.31,2.17,3.03,0.0,7.9,1.01,high
N21204998L,Fungai Mpofu,BSc Data Science,3,3.24,3.75,3.13,89.39,12.02,8.94,5.03,1.04,4.54,low
N21703656L,Patricia Nyathi,BSc Information Systems,3,3.6,3.09,3.17,90.15,12.1,9.01,5.01,1.03,4.86,low
N22720298L,Thandeka Nyathi,BSc Information Systems,3,3.27,3.51,3.12,89.85,12.0,8.98,5.22,0.99,5.46,low
N23668458L,Nothando Mhlanga,BSc Business Computing,1,2.62,2.37,2.59,65.32,5.04,6.53,1.94,3.98,3.2,medium
N20652021L,Winny Ndlovu,BSc Computer Engineering,1,4.0,3.18,3.59,89.83,12.31,8.98,5.06,1.02,4.51,low
N21941403L,Tafadzwa Sibanda,BSc Informatics,1,4.0,3.1,3.95,89.98,11.56,9.0,4.85,0.95,4.97,low
N20987599L,Tariro Nyathi,BSc Computer Science,3,3.67,3.49,3.75,89.77,11.82,8.98,4.96,1.05,4.85,low
N20452909L,Clever Matsvimbo,BSc Information Systems,4,1.84,1.43,1.69,29.6,1.72,2.96,0.0,7.99,1.05,high
N23780714L,Tafadzwa Mhlanga,BSc Computer Engineering,3,2.99,2.34,2.03,65.75,5.04,6.57,1.82,3.97,2.77,medium
N22869649L,Clever Ncube,BSc Information Systems,3,3.21,3.37,3.61,89.48,12.19,8.95,4.99,0.96,4.62,low
N23992083L,Precious Sibanda,BSc Information Systems,4,3.55,3.49,3.53,90.03,12.08,9.0,4.84,1.01,4.99,low
N21770718L,Precious Dube,BSc Business Computing,4,3.99,3.59,3.64,90.09,12.42,9.01,5.02,0.92,4.72,low
N22276042L,Takudzwa Matsvimbo,BSc Business Computing,3,3.02,3.94,3.34,90.01,12.06,9.0,4.88,1.04,5.0,low
N22369125L,Shannon Ndlovu,BSc Informatics,1,1.97,2.52,1.94,64.76,5.02,6.48,2.07,3.92,3.01,medium
N23617033L,Patricia Nyathi,BSc Information Technology,3,3.16,3.96,3.83,89.99,11.34,9.0,5.02,1.01,5.03,low
N21270557L,Memory Moyo,BSc Informatics,2,1.53,1.77,1.62,29.7,2.01,2.97,0.0,8.18,1.02,high
N20458411L,Michelle Dlodlo,BSc Information Systems,2,3.06,3.91,3.42,89.6,12.0,8.96,5.18,0.92,5.0,low
N20454366L,Miriam Chimuti,BSc Business Computing,2,2.86,3.61,3.63,90.13,12.75,9.01,5.02,1.06,4.75,low
N24555292L,Michelle Sibanda,BSc Computer Science,2,2.67,2.57,2.4,65.27,5.22,6.53,2.11,4.01,3.0,medium
N24857111L,Bright Ngwenya,BSc Data Science,5,2.29,1.51,1.35,29.26,1.86,2.93,0.0,7.99,1.17,high
N24980651L,Munashe Ncube,BSc Informatics,1,3.05,3.66,4.0,89.78,11.96,8.98,4.96,0.96,4.62,low
N24603660L,Blessing Dube,BSc Informatics,2,2.31,2.48,2.49,64.62,4.92,6.46,2.06,4.03,3.15,medium
N23984756L,Shannon Mushonga,BSc Information Technology,3,1.74,1.89,1.31,30.22,2.01,3.02,0.0,8.07,1.11,high
N24506351L,Tatenda Nyathi,BSc Information Technology,4,3.76,2.83,3.06,89.74,12.17,8.97,4.97,0.94,5.31,low
N23376195L,Newton Ngwenya,BSc Informatics,2,3.02,3.08,3.99,90.05,11.71,9.01,5.01,0.99,5.01,low
N22947438L,Bright Sithole,BSc Software Engineering,3,3.39,3.62,3.39,89.88,11.44,8.99,5.05,1.04,4.73,low
N23661527L,Winny Makaza,BSc Software Engineering,4,1.51,1.62,1.83,30.61,2.1,3.06,0.0,7.76,0.98,high
N20626491L,Precious Mutizwa,BSc Information Systems,1,3.46,3.66,4.0,90.51,12.28,9.05,4.88,1.01,5.01,low
N21322182L,Blessing Ncube,BSc Informatics,3,3.43,3.46,3.08,90.0,11.56,9.0,5.12,0.94,5.02,low
N21974625L,David Ngwenya,BSc Computer Engineering,5,3.36,3.22,2.78,90.33,11.47,9.03,4.93,0.98,4.95,low
N23683390L,Simbarashe Mushayasa,BSc Computer Engineering,4,2.49,2.29,2.39,65.16,5.03,6.52,2.02,3.98,3.17,medium
N20924758L,Miriam Makaza,BSc Information Technology,2,2.92,3.29,3.32,90.06,11.5,9.01,4.82,1.02,5.11,low
N24895216L,Shannon Dube,BSc Computer Science,1,3.86,3.79,2.86,89.74,12.45,8.97,5.22,1.01,5.07,low
N23376967L,Patricia Gwekwerere,BSc Business Computing,4,3.13,3.59,2.94,89.72,12.35,8.97,4.91,0.98,5.1,low
N24813884L,Simbarashe Sibanda,BSc Information Technology,1,2.95,3.24,3.77,90.35,11.16,9.04,4.86,0.96,4.82,low
N23381631L,Gerald Ndlovu,BSc Computer Engineering,2,4.0,3.99,3.77,89.78,12.47,8.98,5.11,0.98,4.9,low
N23999924L,Farai Mpofu,BSc Information Systems,2,3.97,3.47,3.84,90.34,11.71,9.03,4.85,1.0,4.91,low
N22382507L,Chenai Chimuti,BSc Computer Science,3,2.12,2.77,2.07,64.43,5.12,6.44,1.99,3.91,3.12,medium
N23896386L,Tatenda Nyathi,BSc Informatics,1,2.79,2.6,2.47,64.29,4.8,6.43,2.12,4.02,3.34,medium
N24522979L,Munyaradzi Mutizwa,BSc Informatics,1,3.47,3.12,4.0,90.16,11.9,9.02,5.16,1.03,5.2,low
N20361609L,Kudakwashe Matsiga,BSc Informatics,4,3.11,3.59,3.1,89.87,12.36,8.99,5.0,0.97,4.82,low
N23629663L,Simbarashe Dube,BSc Informatics,3,3.77,3.59,3.84,90.06,12.33,9.01,5.1,0.99,4.9,low
N23715388L,Bright Nyathi,BSc Computer Engineering,2,2.66,2.66,2.35,64.93,4.72,6.49,1.96,4.05,3.23,medium
N20398916L,Thandeka Dlodlo,BSc Informatics,4,3.61,3.66,3.54,90.42,11.99,9.04,5.05,0.98,4.97,low
N21778827L,Fungai Chikwanda,BSc Data Science,3,2.75,2.73,3.79,90.23,12.06,9.02,5.12,0.96,5.0,low
N20597126L,Rutendo Mhlanga,BSc Informatics,2,2.0,2.25,2.23,30.31,1.84,3.03,0.0,7.92,0.95,high
N22544393L,Patricia Nyathi,BSc Business Computing,3,3.06,3.4,3.0,90.29,11.83,9.03,4.78,1.0,4.98,low
N24516444L,Precious Dube,BSc Informatics,2,2.47,2.13,1.41,30.21,2.1,3.02,0.0,7.88,0.76,high
N22688730L,Miriam Chimuti,BSc Data Science,3,2.21,2.07,2.29,65.28,5.03,6.53,1.95,4.07,3.21,medium
N22771712L,Tafadzwa Ngwenya,BSc Data Science,1,2.2,1.97,1.69,29.83,2.09,2.98,0.0,8.04,1.05,high
N21257212L,Tatenda Mpofu,BSc Informatics,5,3.74,3.58,3.32,89.95,12.97,9.0,4.81,1.02,4.92,low
N22813824L,Rutendo Ndlovu,BSc Business Computing,4,3.08,3.21,4.0,90.05,11.58,9.0,5.03,0.98,4.82,low
N23872519L,Kudakwashe Makaza,BSc Software Engineering,1,3.8,3.45,3.69,89.79,11.88,8.98,4.92,1.03,5.41,low
N23804505L,Tinotenda Mutizwa,BSc Data Science,3,2.26,1.98,2.11,65.1,5.18,6.51,2.06,4.08,2.77,medium
N21408054L,Shannon Gwekwerere,BSc Information Systems,4,3.85,2.7,3.65,89.65,12.25,8.97,4.94,0.95,5.08,low
N21812730L,Sharon Moyo,BSc Software Engineering,3,3.67,4.0,3.81,89.94,12.38,8.99,4.83,1.0,4.95,low
N22489737L,Admire Makaza,BSc Data Science,3,2.51,2.05,2.36,64.52,5.35,6.45,1.98,3.96,3.14,medium
N24708502L,David Moyo,BSc Business Computing,1,3.01,3.53,3.4,90.02,12.61,9.0,5.03,0.97,5.05,low
N23655575L,Nothando Sithole,BSc Informatics,2,2.96,3.41,3.99,90.32,12.42,9.03,4.93,1.08,4.83,low
N22529068L,Precious Matsiga,BSc Information Systems,1,4.0,3.7,3.7,90.11,12.1,9.01,5.07,0.97,5.2,low
N23448787L,Michelle Matsvimbo,BSc Informatics,3,3.85,3.11,3.74,89.77,12.22,8.98,5.11,0.93,5.01,low
N21704272L,Michelle Gwekwerere,BSc Computer Science,1,3.05,3.88,3.86,90.1,11.86,9.01,5.06,0.95,4.88,low
N23600590L,Simbarashe Ndlovu,BSc Informatics,2,2.37,2.73,2.06,64.59,4.81,6.46,2.04,3.95,3.27,medium
N22893612L,Tatenda Chikwanda,BSc Informatics,3,3.25,2.8,3.19,90.44,12.46,9.04,4.94,1.02,4.84,low
N22427252L,Munyaradzi Dube,BSc Information Technology,3,3.53,3.75,3.54,90.05,12.07,9.0,5.06,0.93,5.25,low
N20412687L,Clever Matsiga,BSc Computer Engineering,2,1.83,1.69,1.49,30.28,1.91,3.03,0.0,8.07,1.1,high
N23476701L,Blessing Mhlanga,BSc Information Technology,3,4.0,3.91,3.03,90.22,11.68,9.02,4.94,0.96,5.17,low
N21869735L,Thandeka Makaza,BSc Information Systems,1,3.66,3.14,3.01,89.96,12.08,9.0,5.12,1.04,4.7,low
N23771425L,Rudo Mushayasa,BSc Informatics,3,2.29,2.34,2.44,65.1,4.85,6.51,1.96,4.02,3.12,medium
N20150578L,Farai Sithole,BSc Business Computing,1,3.35,3.85,3.2,90.23,11.77,9.02,5.01,0.98,5.1,low
N21315477L,Tashinga Mushonga,BSc Information Technology,2,3.04,3.71,4.0,90.02,10.93,9.0,4.84,0.95,5.04,low
N24834764L,Munyaradzi Sithole,BSc Computer Science,3,2.71,2.57,2.72,65.72,4.53,6.57,2.02,4.14,2.91,medium
N20621917L,Blessing Chimuti,BSc Software Engineering,3,4.0,3.08,3.92,90.16,12.15,9.02,4.97,1.01,5.08,low
N22837606L,Chenai Mushonga,BSc Information Systems,4,3.09,3.51,4.0,89.92,12.06,8.99,5.09,0.98,5.2,low
N23446663L,Newton Ndlovu,BSc Informatics,2,3.16,2.91,2.8,90.39,12.19,9.04,4.98,0.97,4.98,low
N23256389L,Tendai Mutizwa,BSc Computer Science,4,3.91,3.62,3.9,90.03,12.16,9.0,5.18,1.07,5.14,low
N21578938L,Clever Ngwenya,BSc Business Computing,1,3.06,2.35,2.19,65.06,5.05,6.51,2.04,3.98,3.12,medium
N22477712L,Sharon Sithole,BSc Computer Science,4,3.09,2.7,3.91,89.87,12.52,8.99,4.97,1.0,5.49,low
N21795578L,Tatenda Matsvimbo,BSc Computer Engineering,3,3.38,2.91,3.19,89.73,12.21,8.97,4.99,0.94,5.14,low
N20490722L,Tafadzwa Mhlanga,BSc Computer Science,5,3.76,4.0,3.76,89.57,11.75,8.96,4.94,1.02,4.88,low
N23823415L,Munashe Sithole,BSc Information Systems,5,3.35,2.9,3.36,89.98,11.57,9.0,4.78,1.0,4.71,low
N21208751L,Learnmore Makaza,BSc Business Computing,3,2.2,2.0,1.93,64.26,4.9,6.43,1.97,4.09,2.99,medium
N23917012L,Gerald Chimuti,BSc Informatics,3,2.87,3.38,3.01,89.8,12.95,8.98,4.93,1.0,4.92,low
N21606545L,Winny Dube,BSc Information Technology,4,3.26,3.51,3.3,90.19,11.71,9.02,4.77,0.96,4.99,low
N20838793L,Tatenda Makaza,BSc Software Engineering,1,3.22,3.7,3.66,90.25,12.03,9.02,4.89,1.0,4.61,low
N24821673L,David Dube,BSc Information Technology,3,2.53,2.05,2.64,65.22,5.51,6.52,2.06,4.07,3.26,medium
N23255875L,Bright Chimuti,BSc Informatics,1,2.42,2.5,2.61,65.45,4.81,6.55,1.87,4.07,2.72,medium
N23993251L,Winny Mhlanga,BSc Computer Science,4,2.16,1.56,1.75,29.97,2.09,3.0,0.0,7.96,1.05,high
N22152796L,Tariro Mpofu,BSc Information Technology,2,3.99,3.36,3.39,89.47,12.17,8.95,5.24,0.97,4.81,low
N24569865L,Takudzwa Gwekwerere,BSc Business Computing,1,3.75,3.16,3.72,89.92,12.44,8.99,4.97,1.01,5.25,low
N20207629L,Patricia Sithole,BSc Informatics,5,2.99,3.12,2.75,90.07,11.88,9.01,5.22,1.04,4.6,low
N24749137L,Clever Mutizwa,BSc Software Engineering,1,3.03,3.45,3.89,89.81,11.41,8.98,5.02,0.97,4.83,low
N20956255L,Newton Matsiga,BSc Computer Engineering,2,2.44,3.03,2.39,65.07,5.25,6.51,1.95,4.11,2.78,medium
N22850689L,Tanaka Dube,BSc Computer Science,3,3.0,2.87,3.37,90.31,12.15,9.03,5.01,0.94,5.07,low
N22674295L,Tariro Nyathi,BSc Computer Science,1,3.34,3.98,3.71,89.36,12.26,8.94,5.14,0.99,4.72,low
N23212157L,Admire Chimuti,BSc Software Engineering,1,3.76,3.34,3.71,89.88,11.67,8.99,4.94,0.99,5.05,low
N23964607L,Blessing Matsvimbo,BSc Computer Science,4,3.34,3.31,3.07,90.28,12.47,9.03,4.93,0.94,5.31,low
N24229204L,Memory Matsiga,BSc Information Systems,1,2.98,4.0,3.19,89.82,11.83,8.98,4.8,1.06,5.14,low
N24553834L,Precious Gwekwerere,BSc Information Systems,1,3.46,3.12,3.9,89.86,12.25,8.99,5.08,0.93,4.91,low
N20506224L,Miriam Chimuti,BSc Computer Engineering,1,3.83,3.3,3.09,90.28,12.5,9.03,4.98,0.99,5.4,low
N21386886L,Patricia Matsvimbo,BSc Data Science,2,3.56,2.67,3.26,89.99,11.7,9.0,4.98,1.07,4.85,low
N24413433L,Bright Matsvimbo,BSc Software Engineering,1,3.75,3.17,3.22,90.28,12.09,9.03,5.02,1.01,4.85,low
N22805034L,Munyaradzi Mhlanga,BSc Computer Engineering,3,2.12,2.6,2.6,65.1,4.79,6.51,1.94,4.11,2.89,medium
N24698357L,Chenai Mushayasa,BSc Data Science,3,2.94,3.14,3.7,89.76,11.31,8.98,5.05,1.09,4.67,low
N20126499L,Simbarashe Ncube,BSc Informatics,2,1.67,1.54,1.54,30.45,1.95,3.05,0.0,7.99,0.94,high
N21400538L,Rudo Ncube,BSc Informatics,1,2.66,2.48,2.33,64.83,5.11,6.48,1.94,3.92,3.15,medium
N20476105L,Memory Dube,BSc Software Engineering,1,3.57,3.43,3.39,89.87,11.98,8.99,4.98,1.03,5.11,low
N22826596L,Kudakwashe Dlodlo,BSc Information Technology,3,4.0,2.95,3.54,90.04,12.06,9.0,4.98,1.03,4.98,low
N24156415L,Thandeka Ngwenya,BSc Software Engineering,3,3.9,3.46,3.08,89.78,11.64,8.98,4.92,0.95,4.79,low
N21764575L,Tinotenda Makaza,BSc Software Engineering,3,4.0,4.0,3.23,90.07,11.47,9.01,5.15,1.02,4.68,low
N21815819L,Takudzwa Mhlanga,BSc Information Systems,5,4.0,3.39,3.06,90.05,12.58,9.01,4.96,1.05,5.1,low
N22683635L,Admire Ncube,BSc Information Systems,1,3.04,3.28,3.22,89.58,12.24,8.96,4.99,1.04,5.17,low
N21141880L,Munyaradzi Matsvimbo,BSc Informatics,1,3.62,3.97,4.0,89.47,12.5,8.95,4.88,1.02,5.12,low
N22614379L,Precious Mushayasa,BSc Computer Engineering,3,2.96,2.57,1.87,65.19,4.66,6.52,2.06,3.97,2.91,medium
N21645895L,Tendai Mutizwa,BSc Information Systems,3,3.77,3.32,2.81,89.7,11.52,8.97,5.01,1.02,5.24,low
N21323717L,Tafadzwa Matsvimbo,BSc Computer Engineering,2,1.53,2.42,1.62,29.12,2.22,2.91,0.0,8.0,0.95,high
N23688602L,Thandeka Dube,BSc Computer Engineering,5,3.58,3.44,3.22,89.75,12.2,8.98,4.96,0.9,4.71,low
N24355671L,Nomvula Matsvimbo,BSc Information Technology,4,3.8,3.23,3.96,90.11,11.53,9.01,4.99,1.03,5.16,low
N24859143L,Clever Ndlovu,BSc Computer Engineering,4,3.21,3.26,3.53,90.29,11.95,9.03,4.91,0.98,5.27,low
N22783176L,Blessing Matsvimbo,BSc Computer Science,2,3.36,3.02,3.19,89.75,12.26,8.98,4.73,1.01,4.94,low
N24659106L,Thandeka Moyo,BSc Software Engineering,1,3.6,3.12,3.04,89.88,12.43,8.99,5.03,1.03,4.94,low
N23976258L,Shannon Chikwanda,BSc Information Technology,3,2.13,3.03,1.97,65.31,4.86,6.53,2.03,3.96,2.99,medium
N21124906L,Memory Matsvimbo,BSc Informatics,4,3.09,2.86,3.22,90.11,12.4,9.01,5.0,1.02,5.16,low
N24173863L,Precious Mpofu,BSc Data Science,1,3.07,3.42,3.12,89.87,11.25,8.99,5.08,0.97,4.79,low
N22117711L,Simbarashe Dube,BSc Informatics,2,4.0,2.71,3.28,89.75,12.16,8.97,5.07,1.01,4.79,low
N24147727L,Tendai Nyathi,BSc Computer Science,3,3.36,3.74,2.98,89.79,11.62,8.98,5.18,0.99,4.8,low
N22902448L,Memory Dlodlo,BSc Information Technology,3,2.52,2.63,2.96,65.58,4.85,6.56,1.97,3.89,2.72,medium
N21243006L,Simbarashe Mushayasa,BSc Data Science,1,4.0,2.82,2.87,90.14,11.98,9.01,5.02,0.99,4.94,low
N22111691L,Grace Mushayasa,BSc Information Systems,1,3.9,3.97,3.65,90.16,12.08,9.02,4.96,0.9,5.04,low
N24674122L,Tendai Mushonga,BSc Software Engineering,1,3.79,3.28,3.94,90.06,11.7,9.01,4.92,0.98,4.94,low
N23777308L,Tariro Ncube,BSc Information Systems,4,3.07,3.47,3.69,89.95,11.96,9.0,5.16,0.91,5.14,low
N20290167L,Prince Sibanda,BSc Business Computing,3,1.97,1.74,1.29,30.51,1.77,3.05,0.0,7.88,0.94,high
N22202972L,Tariro Makaza,BSc Business Computing,1,2.54,2.77,2.14,65.36,5.0,6.54,1.94,3.91,3.23,medium
N21204904L,Nothando Chimuti,BSc Computer Science,2,2.71,3.36,2.85,90.15,11.8,9.02,5.06,0.97,4.65,low
N24791454L,Clever Makaza,BSc Information Systems,2,3.74,3.64,3.08,89.91,12.38,8.99,4.86,1.02,5.5,low
N23276831L,Tashinga Matsvimbo,BSc Software Engineering,2,3.0,3.23,3.14,89.54,11.76,8.95,4.89,0.97,4.8,low
